title,rating,rating_count,status,view,genres
The Scholar’s Reincarnation,2.5,195,Ongoing,18467,"['Action', 'Fantasy', 'Manhwa', 'Martial Arts', 'Romance', 'Shounen', 'Supernatural', 'Webtoon']"
The right-eyed world,2.8,3,Ongoing,696,"['Action', 'Drama', 'School Life', 'Manhwa']"
Return of the Max-Level Doctor,2.5,297,Ongoing,15139,"['Drama', 'Fantasy', 'Manhwa']"
Naguri Tamer no Isekai Seikatsu ~ Kōeinanoni zen’ei de tatakau mamono tsukai ~,2.5,1,Ongoing,1968,"['Action', 'Comedy', 'Fantasy']"
Looking for a Fisherman,5,1,Ongoing,660,"['Romance', 'Slice of Life']"
Emperor And The Female Knight,2.2,27,Ongoing,12606,"['Action', 'Drama', 'Fantasy', 'Historical', 'Josei', 'Manhwa', 'Romance', 'Shoujo']"
The You Who Descended Into The Universe,4.5,1,Ongoing,781,"['Fantasy', 'Manhua', 'Romance', 'Supernatural']"
Devil Down Under,2.5,2,Ongoing,1418,"['Fantasy', 'Manhwa', 'Supernatural']"
This Bigshot is Quite Careless,3,3,Ongoing,990,[]
Last Word Of The World,5,1,Ongoing,1900,"['Drama', 'Fantasy']"
Goblin no Ko,3,3,Ongoing,3671,"['Action', 'Drama', 'Fantasy', 'Tragedy']"
White Necromancer ~Road to Necromancer King~,0.5,1,Ongoing,6828,['Action']
"Mysteries, Maidens, And Mysterious Disappearances",1.8,37,Ongoing,4473,"['Mystery', 'Seinen', 'Supernatural']"
Enoch,1,1,Ongoing,1396,"['Action', 'Fantasy', 'Manhwa']"
She's the Older Sister of the Obsessive Male Lead,3.7,7,Ongoing,8471,"['Fantasy', 'Historical', 'Manhwa', 'Romance', 'Isekai']"
ONE,2.1,6,Ongoing,2198,"['Action', 'Manhwa', 'School Life']"
The Villainous Doctor,2.8,21,Ongoing,7875,"['Action', 'Drama', 'Historical', 'Manhua', 'Romance']"
"Huh, Transfer Failed?!… or success?",5,1,Ongoing,2711,"['Action', 'Fantasy']"
"Hey, the Cheat Code Management Skill Which Was Thought to Be Useless Is Too Monstrous",2.8,25,Ongoing,2515,"['Action', 'Fantasy']"
Do Your Worst,2.9,5,Ongoing,1302,"['Drama', 'Josei', 'Romance']"
100 Days Of Demon Hunting Notes,5,1,Ongoing,502,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Historical', 'Horror', 'Martial Arts', 'Mystery', 'Supernatural', 'Adventure']"
"Since My Previous Life Was A Wise Man, I Can Afford To Live",2.5,90,Ongoing,14415,"['Action', 'Fantasy', 'Adventure']"
My Daughter is a Music Genius,2.2,85,Ongoing,24129,"['Comedy', 'Drama', 'Manhwa', 'Slice of Life']"
Gorae Byul - The Gyeongseong Mermaid,2.2,24,Ongoing,3005,"['Historical', 'Manhwa', 'Romance', 'Shoujo', 'Tragedy']"
Records of the Demonic Path’s Return,2.7,848,Ongoing,61887,"['Action', 'Drama', 'Manhwa']"
Let’s Make a Contract?,2.4,182,Ongoing,9499,"['Action', 'Drama', 'Martial Arts']"
Unrivaled Gamer: Dominating With the Ex-Skill Hero Master,2.4,68,Ongoing,2829,"['Action', 'Drama', 'Fantasy']"
"Myst, Might, Mayhem",2.5,213,Ongoing,7881,"['Action', 'Fantasy', 'Manhwa', 'Martial Arts', 'Adventure']"
I Violently Level Up,3.1,20,Ongoing,3729,"['Action', 'Manhua', 'Martial Arts']"
Devouring Infinite,0.9,8,Ongoing,1309,[]
Sekai no Owari no Sekairoku,2.2,78,Ongoing,11353,"['Action', 'Comedy', 'Fantasy', 'Manga', 'Romance', 'Shounen']"
Invincible at the Start,2.9,459,Ongoing,91099,"['Action', 'Drama', 'Fantasy', 'Harem', 'Martial Arts', 'Shounen']"
Does Your Mother Need Son In Low,2.8,51,Ongoing,31071,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Manhua', 'Martial Arts', 'Romance']"
Heaven Defying Sword,2.7,42,Ongoing,16418,"['Action', 'Drama', 'Fantasy', 'Martial Arts', 'Supernatural']"
Shoushaman no Isekai Survival ~ Zettai Hito to wa Tsurumanee ~,2.6,134,Ongoing,25673,"['Action', 'Fantasy', 'Isekai', 'Manga']"
The Golden Age (Angel of Midheaven),3.5,7,Ongoing,4523,"['Action', 'Fantasy', 'Historical', 'Martial Arts', 'Shounen']"
Neta Chara Tensei Toka Anmarida!,3.1,12,Ongoing,11011,"['Fantasy', 'Supernatural', 'Yuri']"
I was reincarnated as a blind girl - I rely on my previous life's memories and magic to survive.,2.8,48,Ongoing,10425,"['Fantasy', 'Historical', 'Adventure', 'Isekai']"
"F Rank Shoukanshi, Pet Atsukaide Kawaigatteita Shoukanjuu ga Bahamut ni Seichou shita no de Bouken wo Yamete Saikyou no Ryuu Kishi ni naru",1.6,14,Ongoing,1638,"['Fantasy', 'Adventure']"
I’m Going to Steal From Today,2.7,139,Ongoing,30387,"['Action', 'Fantasy', 'Manhwa', 'Shounen', 'Adventure']"
ASHA,1.9,47,Ongoing,5847,"['Action', 'Fantasy', 'Historical']"
Student Council For Two,1.8,2,Ongoing,2468,"['Comedy', 'School Life', 'Shounen', 'Slice of Life']"
Hazukashigariya no Tsuma to Shinkon Seikatsu Hajimemashita,3.6,6,Ongoing,2224,"['Comedy', 'Cooking', 'Romance', 'Slice of Life']"
I Can’t Be This Stupid,3,2,Ongoing,5224,"['Comedy', 'Drama', 'Romance', 'School Life', 'Shoujo']"
Light of the Dawn,2.4,23,Ongoing,2453,"['Action', 'Fantasy', 'Manhwa']"
Arte,0.8,3,Ongoing,3452,"['Action', 'Cooking', 'Drama', 'Historical', 'Romance', 'Seinen']"
The Poisonous Genius Consort Is Too Arrogant,2.8,3,Ongoing,1418,"['Action', 'Fantasy', 'Manhua', 'Martial Arts']"
I Have A Blade That Can Cut Heaven And Earth,2.4,232,Ongoing,9472,"['Action', 'Drama', 'Fantasy', 'Manhua', 'Shounen']"
Boku No Kokoro No Yabai Yatsu,2.3,30,Ongoing,8718,"['School Life', 'Shounen', 'Slice of Life']"
Primal Gods In Ancient Times,2.1,29,Ongoing,7814,"['Action', 'Adult', 'Fantasy', 'Seinen', 'Supernatural']"
The Bethlem of Magicians,1.2,3,Ongoing,865,"['Action', 'Drama', 'Fantasy', 'Horror', 'Mystery', 'Psychological', 'Supernatural']"
I Think I’ll Hide My True Ability to the Last Moment,2.3,54,Ongoing,14850,['Fantasy']
The Demon King Wants to Die,1.8,5,Ongoing,1368,"['Fantasy', 'Manhwa', 'Romance']"
"Hello, I Am A Witch, And My Crush Wants Me To Make A Love Potion!",3,24,Ongoing,5008,"['Fantasy', 'Romance', 'Sci-fi', 'Shoujo']"
Cradle of Heaven,2,56,Ongoing,9140,"['Drama', 'Fantasy', 'Historical', 'Romance', 'Supernatural', 'Adventure', 'Manhwa']"
The Disciple of Lich,5,1,Ongoing,2491,"['Action', 'Fantasy', 'Romance']"
Metropolitan City&#x27;s Ying Yang Miracle Doctor,3.7,8,Ongoing,1963,"['Action', 'Martial Arts', 'Romance', 'Shounen', 'Supernatural']"
Four Knights of the Apocalypse,3.1,16,Ongoing,2333,"['Action', 'Comedy', 'Fantasy']"
"I've reincarnated as a villainess, though I became a teacher who magically punishes my students who have fallen behind!",5,1,Ongoing,3181,"['Fantasy', 'Historical', 'Isekai']"
"Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru ~Level Up wa Jinsei wo Kaeta~",2.7,95,Ongoing,43720,"['Action', 'Drama', 'Fantasy']"
Ending Maker,2.6,130,Ongoing,21649,"['Action', 'Comedy', 'Manhwa', 'Martial Arts', 'Romance']"
I’m the Male Lead’s Girl Friend,3,2,Ongoing,763,"['Fantasy', 'Manhwa', 'Shoujo']"
Watashi No Shounen,0.2,2,Ongoing,322,"['Comedy', 'Drama', 'Romance', 'Shoujo']"
Max Level Player,2.6,442,Ongoing,71136,"['Action', 'Manhwa']"
The Archduke’s Pet,2.4,112,Ongoing,14236,"['Fantasy', 'Josei', 'Mature', 'Romance']"
I'm Not the Overlord!,1.6,13,Ongoing,2239,"['Action', 'Comedy', 'Fantasy', 'Harem', 'Webtoon', 'Adventure']"
Vermeil in Gold - A Magician Pushes Through the Magical World With the Strongest Disaster,2.7,16,Ongoing,11903,"['Action', 'Drama', 'Ecchi', 'Fantasy']"
Lightning Front,1.6,20,Ongoing,3368,"['Action', 'Manhua', 'Sci-fi']"
Kind Ah-Dai,2.2,5,Ongoing,5580,"['Action', 'Fantasy', 'Mystery']"
"Tensei-saki de Suterareta Node, Mofumofu-tachi to Oryouri Shimasu",1.4,4,Ongoing,3091,"['Fantasy', 'Romance']"
CHOICE OF ERROR HERO,3.7,3,Ongoing,2816,"['Action', 'Comedy', 'Drama', 'Adventure']"
God Of Wine,3.3,56,Ongoing,5100,"['Action', 'Manhua', 'School Life', 'Shounen']"
"Mikata ga Yowasugite Hojo Mahou ni Tesshiteita Kyuutei Mahoushi, Tsuihou Sarete Saikyou wo Mezashimasu",2.1,16,Ongoing,13753,"['Action', 'Fantasy']"
Doomed To Be A King,3.2,11,Ongoing,5440,"['Action', 'Comedy', 'Historical', 'School Life']"
The Dark Mage’s Return to Enlistment,2.4,766,Ongoing,120253,"['Action', 'Fantasy', 'Manhwa', 'Adventure']"
Misumi-san Can’t See Through,2.9,26,Ongoing,3968,"['Comedy', 'Romance', 'School Life', 'Shounen', 'Supernatural']"
Into the Net!,3.1,9,Ongoing,2534,"['Comedy', 'Manhua', 'Shounen', 'Sports']"
I'll be Taking a Break for Personal Reasons,2.5,533,Ongoing,103007,"['Action', 'Comedy', 'Manhwa', 'Shounen']"
The World’s Greatest Martial Artist,2.7,5,Ongoing,4061,"['Action', 'Fantasy', 'Manhua', 'Martial Arts']"
Kill the Dragon,2.7,355,Ongoing,54425,"['Action', 'Fantasy', 'Manhwa', 'Shounen', 'Adventure']"
Story of an &quot;Unemployed&quot; Champion and a Princess Who Together Find Their Happiness,3,1,Ongoing,496,"['Fantasy', 'Romance']"
The King&#x27;s Beloved Daughter,5,1,Ongoing,565,[]
Hero? I Quit a Long Time Ago,4.1,13,Ongoing,20242,"['Action', 'Comedy', 'Sci-fi']"
The Marquess's Daughter Plays the Perfect Pawn,2.9,33,Ongoing,5559,"['Comedy', 'Drama', 'Fantasy', 'Historical', 'Shoujo', 'Webtoon']"
Outta Fire,5,1,Ongoing,582,"['Action', 'Comedy', 'Mystery', 'Sci-fi']"
Soul Land,2.8,51,Completed,14379,"['Action', 'Manhua']"
Endo and Kobayashi’s Live Commentary on the Villainess,2.5,22,Ongoing,5162,"['Comedy', 'Drama', 'Fantasy', 'Romance']"
Gal Assi,2.5,25,Ongoing,6969,"['Comedy', 'Romance']"
First Order,2.6,202,Ongoing,22406,"['Action', 'Manhua']"
Sword Demon Island,2.5,452,Ongoing,50998,"['Action', 'Fantasy', 'Historical', 'Manhwa', 'Martial Arts']"
The Greatest Chaos in History,2.5,123,Ongoing,13899,"['Action', 'Comedy', 'Fantasy', 'Historical', 'Shounen', 'Slice of Life', 'Supernatural', 'Adventure']"
The Fable,2.5,6,Ongoing,2385,"['Action', 'Comedy', 'Drama', 'Romance', 'Seinen']"
Katsuben Ouji no Hanayome-san,5,1,Ongoing,4817,"['Comedy', 'Historical', 'Romance']"
Vainqueur the dragon,2.6,40,Ongoing,5125,"['Action', 'Comedy', 'Fantasy', 'Adventure']"
It Starts with a kingpin account,2.5,85,Ongoing,33818,"['Action', 'Manhua']"
Issak,2,50,Ongoing,6521,"['Action', 'Drama', 'Historical', 'Psychological']"
Lv999 No Murabito,3,43,Ongoing,13438,"['Fantasy', 'Manga', 'Martial Arts', 'Shounen', 'Slice of Life']"
